ID,Business,Year_Of_Commitment ,Guaranteed_Approved _Loan,Borrower_Name ,Low_Documentation_Loan,Demography,ChargedOff_Amount ,Count_Employees,Classification_Code ,Loan_Approved_Gross,Gross_Amount_Disbursed  ,Loan_Term,Code_Franchise,Name_Of_Bank,Revolving_Credit_Line,Target
3041,Existing,2004,Rs.11887200.0,NOR LAKE LIQUOR,No,Urban,Rs.0.0,2,445310,Rs.15849600.0,Rs.15849600.0,180,1,Nainital bank Ltd.,0,0
3042,Existing,2007,Rs.3454400.0,Mike Kim Chiropractic Corporat,No,Urban,Rs.6908800.0,2,621310,Rs.6908800.0,Rs.6908800.0,84,0,ICICI Bank Ltd.,No,1
3043,New,2005,Rs.406400.0,ADVANCED BUSINESS LOGISTICS,No,Urban,Rs.676412.16,1,541213,Rs.812800.0,Rs.812800.0,106,1,Karur Vysya Bank Ltd.,Yes,1
3044,New,2007,Rs.8534400.0,MARBLE SLAB CREAMERY,No,Urban,Rs.0.0,11,722213,Rs.17068800.0,Rs.17068800.0,189,50954,JSC VTB Bank,0,0
3045,Existing,2005,Rs.1016000.0,TOON TOY,No,Urban,Rs.0.0,1,451120,Rs.2032000.0,Rs.5144211.2,162,1,Vidharbha Konkan Gramin Bank,T,0
3046,Existing,2010,Rs.35112960.0,Phila Cash & Carry Inc.,No,Urban,Rs.0.0,3,424990,Rs.39014400.0,Rs.39014400.0,180,0,Jio Payments Bank Ltd,No,0
3047,Existing,2006,Rs.2032000.0,THE LAPTOP GUY INC.,No,Urban,Rs.0.0,9,811212,Rs.4064000.0,Rs.5608320.0,90,0,Paytm Payments Bank Ltd,Yes,0
3048,Existing,2006,Rs.29791152.0,SHEEHAN LAND INC AN EPC TO SHE,No,Urban,Rs.0.0,6,331524,Rs.39721536.0,Rs.39721536.0,450,1,Karur Vysya Bank Ltd.,0,0
3049,Existing,2005,Rs.6096000.0,MY SECOND HOME PRESCHOOL AT SA,No,Urban,Rs.0.0,21,624410,Rs.12192000.0,Rs.12192000.0,126,1,Subhadra Local Bank Ltd,No,0
3050,New,1999,Rs.3595827.2,TOWN & COUNTRY CLOTHING,No,Undefined,Rs.0.0,3,448140,Rs.4494784.0,Rs.4494784.0,180,1,KEB Hana Bank,No,0
3051,New,2004,Rs.5388864.0,JACOBS CHIROPRACTIC ACUPUNCTUR,Yes,Rural,Rs.0.0,2,621310,Rs.6339840.0,Rs.6339840.0,90,1,Sberbank,0,0
3052,Existing,2004,Rs.23571200.0,COLOR ON WHEELS INC,No,Urban,Rs.0.0,4,811121,Rs.23571200.0,Rs.23489920.0,360,1,South Indian Bank Ltd.,No,0
3053,Existing,2003,Rs.690880.0,OBADIAH'S WILDFIRE FIGHTERS,No,Rural,Rs.691774.08,4,423850,Rs.812800.0,Rs.812800.0,87,1,Tamilnad Mercantile Bank Ltd.,0,1
3054,Existing,2005,Rs.2032000.0,GREATER HOUSTON SERVICE EXCHAN,No,Urban,Rs.0.0,4,236118,Rs.4064000.0,Rs.4064000.0,126,1,Subhadra Local Bank Ltd,No,0
3055,Existing,2003,Rs.1016000.0,HILCOFF & ALBIS LLC,No,Urban,Rs.0.0,3,541110,Rs.2032000.0,Rs.2336800.0,120,1,ICICI Bank Ltd.,Yes,0
3056,Existing,2005,Rs.345440.0,CUSTOM GREENS INCORPORATED,No,Urban,Rs.0.0,1,444220,Rs.406400.0,Rs.406400.0,126,1,Tamilnad Mercantile Bank Ltd.,0,0
3057,New,1996,Rs.32186880.0,KWIK KAR LUBE AND TUNE OF DECA,No,Undefined,Rs.0.0,9,0,Rs.42915840.0,Rs.42915840.0,432,1,IDBI Bank Limited,0,0
3058,New,2002,Rs.54864000.0,"ALEXANDER PAINTING, INC.",No,Urban,Rs.0.0,32,235210,Rs.73152000.0,Rs.73152000.0,90,1,Bank of India,No,0
3059,Existing,1989,Rs.2194560.0,T.D. WHITNEY,No,Undefined,Rs.0.0,4,0,Rs.2438400.0,Rs.2438400.0,126,0,United Overseas Bank Ltd.,No,0
3060,New,2007,Rs.621792.0,Leverage Financial Corporation,No,Urban,Rs.1122639.36,1,531390,Rs.1243584.0,Rs.1243584.0,98,0,Dhanlaxmi Bank Ltd.,No,1
3061,Existing,1994,Rs.31699200.0,"DAVIS, D. K. (AE:DAVIS & ASSOC",No,Undefined,Rs.0.0,23,541330,Rs.42265600.0,Rs.42265600.0,216,1,Dhanlaxmi Bank Ltd.,No,0
3062,Existing,2009,Rs.43728640.0,"The LANGAN Group, Inc",No,Urban,Rs.0.0,13,442210,Rs.43728640.0,Rs.43078400.0,360,78120,Australia and New Zealand Banking Group Ltd.,No,0
3063,New,1995,Rs.6415430.4,MR GOODCENTS SUBS & PASTA,No,Undefined,Rs.0.0,24,0,Rs.7128256.0,Rs.7128256.0,126,54100,ICICI Bank Ltd.,No,0
3064,New,2004,Rs.13817600.0,COASTAL CHOP & PICTURE FRAMING,No,Urban,Rs.0.0,7,423220,Rs.13817600.0,Rs.11704320.0,360,1,FirstRand Bank Ltd.,No,0
3065,Existing,2008,Rs.1036320.0,"Bayou Express Tax Service, Inc",,Urban,Rs.874328.96,2,541213,Rs.1219200.0,Rs.1219200.0,76,0,Tamilnad Mercantile Bank Ltd.,No,1
3066,Existing,1993,Rs.9879584.0,ENVIRONMENTAL ABSORBENT TECH.,No,Undefined,Rs.0.0,17,0,Rs.11623040.0,Rs.11623040.0,90,1,Dhanlaxmi Bank Ltd.,No,0
3067,Existing,1992,Rs.5669280.0,GERALD D. MONTGOMERY PLUMBING,No,Undefined,Rs.0.0,2,0,Rs.6299200.0,Rs.6299200.0,90,1,National Australia Bank,No,0
3068,New,2006,Rs.1219200.0,"Baker, Cory",No,Urban,Rs.0.0,8,236115,Rs.2438400.0,Rs.3483498.24,108,0,Dhanlaxmi Bank Ltd.,Yes,0
3069,Existing,1997,Rs.57912000.0,ROGERS SASH & DOOR COMPANY,No,Undefined,Rs.0.0,22,421310,Rs.77216000.0,Rs.77216000.0,432,1,Punjab Gramin Bank,0,0
3070,Existing,2005,Rs.812800.0,PHRS ASSOCIATES,No,Urban,Rs.755172.48,1,541612,Rs.1625600.0,Rs.3482279.04,16,1,IDFC FIRST Bank Limited,Yes,1
3071,Existing,1992,Rs.31399601.92,HARBORVIEW MOTEL & COTTAGES,No,Undefined,Rs.0.0,2,0,Rs.39014400.0,Rs.39014400.0,360,1,Shinhan Bank,No,0
3072,New,1996,Rs.21336000.0,DIGITAL PRO GRAPHICS,No,Undefined,Rs.0.0,5,541430,Rs.28448000.0,Rs.28448000.0,126,1,Karur Vysya Bank Ltd.,0,0
3073,Existing,2004,Rs.1564640.0,THE HOLLY HUT,No,Urban,Rs.0.0,3,453220,Rs.3129280.0,Rs.3129280.0,54,1,ICICI Bank Ltd.,Yes,0
3074,New,2004,Rs.406400.0,HILLARY & JOSEPH CARUSO,No,Rural,Rs.0.0,2,621210,Rs.812800.0,Rs.812800.0,18,1,Equitas Small Finance Bank Ltd,Yes,0
3075,New,1999,Rs.1885696.0,"JORDAN MILLWORKS, INC.",Yes,Undefined,Rs.0.0,3,0,Rs.2357120.0,Rs.2357120.0,90,1,Woori Bank,0,0
3076,Existing,2005,Rs.27383232.0,POWER STOP,No,Urban,Rs.0.0,4,445120,Rs.36510976.0,Rs.30902656.0,414,1,IDBI Bank Limited,No,0
3077,New,1995,Rs.6583680.0,"NEWTON CONVERTING, INC",Yes,Undefined,Rs.0.0,4,0,Rs.7315200.0,Rs.7315200.0,90,1,Baroda Rajasthan Kshetriya Gramin Bank,No,0
3078,New,1997,Rs.24140160.0,PINNACLE MOLD TECHNOLOGIES,No,Undefined,Rs.0.0,8,0,Rs.24140160.0,Rs.24140160.0,360,1,KEB Hana Bank,No,0
3079,Existing,2005,Rs.3048000.0,B2D SOLUTIONS INC,No,Urban,Rs.0.0,5,541519,Rs.6096000.0,Rs.16683126.4,126,1,City Union Bank Ltd.,Yes,0
3080,New,2006,Rs.4064000.0,"WORLDWIDE TRUCKING EXPEDITORS,",No,Urban,Rs.0.0,2,484110,Rs.8128000.0,Rs.15296001.92,126,0,City Union Bank Ltd.,Yes,0
3081,Existing,2002,Rs.426720.0,AZRA INTERNATIONAL SALES,No,Urban,Rs.609600.0,2,422990,Rs.853440.0,Rs.853440.0,46,1,ICICI Bank Ltd.,Yes,1
3082,Existing,2001,Rs.6908800.0,BOLVIN ENTERPRISES LLC,No,Urban,Rs.0.0,5,722211,Rs.8128000.0,Rs.8128000.0,126,1,FINO Payments Bank Ltd,0,0
3083,Existing,2002,Rs.2032000.0,BLADE BUSTER LLC,No,Urban,Rs.0.0,5,561499,Rs.4064000.0,Rs.4064000.0,132,1,ICICI Bank Ltd.,No,0
3084,Existing,2003,Rs.345440.0,ODESOS STARS,No,Undefined,Rs.0.0,2,323113,Rs.406400.0,Rs.406400.0,126,1,Tamilnad Mercantile Bank Ltd.,0,0
3085,New,1996,Rs.4096512.0,"ON-LINE TRAVEL COMPANY, INC.",Yes,Undefined,Rs.5081544.32,2,561510,Rs.5120640.0,Rs.5120640.0,96,1,ICICI Bank Ltd.,No,1
3086,Existing,1999,Rs.60764928.0,KIDS 'R' KIDS DAYCARE,No,Undefined,Rs.0.0,2,624410,Rs.108508800.0,Rs.108508800.0,450,45495,Industrial Bank of Korea #,0,0
3087,Existing,1992,Rs.32512000.0,"MARKET DELI, INC.",No,Undefined,Rs.0.0,1,0,Rs.40640000.0,Rs.30480000.0,450,1,Shinhan Bank,No,0
3088,Existing,2004,Rs.8636000.0,JOSE A SOLORZANO CRUZ I SOLARZ,No,Rural,Rs.0.0,32,722110,Rs.10160000.0,Rs.10160000.0,270,1,Andhra Pradesh Grameena Vikas Bank,0,0
3089,Existing,2005,Rs.4064000.0,V & L Construction,No,Urban,Rs.7731434.88,0,235420,Rs.8128000.0,Rs.15896498.56,94,1,Dhanlaxmi Bank Ltd.,Yes,1
3090,Existing,2006,Rs.4064000.0,JRNR Electronics Inc,No,Urban,Rs.7838399.36,4,423610,Rs.8128000.0,Rs.21153445.12,40,0,Dhanlaxmi Bank Ltd.,Yes,1
3091,New,2002,Rs.1016000.0,THE CROOKED FENCE,No,Urban,Rs.0.0,2,453220,Rs.2032000.0,Rs.2032000.0,90,1,United Overseas Bank Ltd.,Yes,0
3092,Existing,2001,Rs.2832608.0,CAROUSEL CONSTRUCTION ASSOCIAT,Yes,Urban,Rs.0.0,1,484110,Rs.3332480.0,Rs.3332480.0,90,1,CSB Bank Limited,0,0
3093,New,1994,Rs.13817600.0,LITTLE PROFESSOR BOOK CENTER,No,Undefined,Rs.0.0,4,451211,Rs.16256000.0,Rs.16256000.0,126,48550,IDBI Bank Limited,No,0
3094,Existing,2005,Rs.690880.0,ALLEGHENY GRAPHICS,No,Rural,Rs.0.0,1,511199,Rs.812800.0,Rs.812800.0,126,1,Tamilnad Mercantile Bank Ltd.,0,0
3095,Existing,2003,Rs.568960.0,AAA PLUMBING EXPRESS SERVICES,No,Urban,Rs.527913.6,9,235110,Rs.1137920.0,Rs.1137920.0,14,1,Dhanlaxmi Bank Ltd.,0,1
3096,Existing,1990,Rs.19507200.0,C. R. W. CORP,No,Undefined,Rs.0.0,32,421810,Rs.24384000.0,Rs.24384000.0,45,1,Bank of Ceylon,No,0
3097,New,1997,Rs.5201920.0,Thomas J. Kelly,Yes,Undefined,Rs.0.0,4,0,Rs.6502400.0,Rs.6502400.0,144,24745,"CTBC Bank Co., Ltd.",No,0
3098,Existing,2011,Rs.4064000.0,"Cascade Quality Molding, Inc",No,Urban,Rs.0.0,8,326199,Rs.8128000.0,Rs.8128000.0,94,0,Jio Payments Bank Ltd,No,0
3099,Existing,2011,Rs.5080000.0,L & K Tree & Shrub Inc. and L,No,Rural,Rs.0.0,14,561730,Rs.10160000.0,Rs.30073600.0,32,0,Credit Suisse A.G,Yes,0
3100,Existing,1995,Rs.8046720.0,"HORIZON GROUP, INC.",No,Undefined,Rs.0.0,1,0,Rs.8940800.0,Rs.8940800.0,6,1,Airtel Payments Bank Ltd,No,0
3101,Existing,1996,Rs.51937920.0,COAST FULFILLMENT CORPORATION,No,Undefined,Rs.0.0,32,422320,Rs.51937920.0,Rs.51937920.0,360,1,Central Bank of India,No,0
3102,Existing,1993,Rs.7152640.0,"CLEAN AND FRESH CLEANERS,LTD.",No,Undefined,Rs.0.0,7,812320,Rs.8940800.0,Rs.8940800.0,126,1,ICICI Bank Ltd.,No,0
3103,New,2005,Rs.1016000.0,LOCKWOOD BUSINESS SUPPORT SERV,No,Urban,Rs.0.0,1,541219,Rs.2032000.0,Rs.2032000.0,36,1,CSB Bank Limited,Yes,0
3104,New,2000,Rs.6502400.0,GREAT CLIPS,No,Urban,Rs.0.0,1,0,Rs.8128000.0,Rs.8128000.0,166,35706,City Union Bank Ltd.,0,0
3105,New,2004,Rs.345440.0,DNA TEST SERVICE,No,Undefined,Rs.344383.36,1,812990,Rs.406400.0,Rs.406400.0,90,1,Tamilnad Mercantile Bank Ltd.,0,1
3106,New,2003,Rs.4974336.0,J KRISTINA,Yes,Urban,Rs.0.0,2,448120,Rs.5852160.0,Rs.5852160.0,180,1,"CTBC Bank Co., Ltd.",0,0
3107,Existing,2007,Rs.345440.0,T & J AUTO,No,Rural,Rs.348528.64,1,811111,Rs.406400.0,Rs.406400.0,134,1,FINO Payments Bank Ltd,0,1
3108,New,1997,Rs.1625600.0,E C ENTERPRISES INC.,No,Undefined,Rs.3251200.0,2,453220,Rs.3251200.0,Rs.3251200.0,40,1,ICICI Bank Ltd.,Yes,1
3109,New,2003,Rs.4836160.0,THE LOVESAC CORPORATION,Yes,Urban,Rs.1691355.52,45,442110,Rs.5689600.0,Rs.5689600.0,51,1,Karnataka Bank Ltd.,0,1
3110,Existing,2005,Rs.2032000.0,PRIEBE CONSTRUCTION CO,No,Urban,Rs.0.0,4,238170,Rs.4064000.0,Rs.13175244.16,126,1,Karur Vysya Bank Ltd.,Yes,0
3111,Existing,2009,Rs.1016000.0,Halal Meats LLC,No,Urban,Rs.0.0,3,445210,Rs.2032000.0,Rs.2032000.0,90,0,Krung Thai Bank Public Co. Ltd. ,No,0
3112,Existing,2008,Rs.812800.0,"Gallego, Flor M. DBA Willow Be",No,Rural,Rs.1188313.6,2,811490,Rs.1625600.0,Rs.1625600.0,56,0,Mizoram Rural Bank,No,1
3113,Existing,1993,Rs.2340864.0,"J. B. DECK, CORP.",No,Undefined,Rs.0.0,11,0,Rs.2600960.0,Rs.2600960.0,4,1,IDBI Bank Limited,No,0
3114,Existing,1995,Rs.2414016.0,RAINBOW INTER. CARPET DYEING,Yes,Undefined,Rs.0.0,1,561740,Rs.2682240.0,Rs.2275840.0,90,68175,HDFC Bank Ltd,No,0
3115,Existing,2007,Rs.3048000.0,REEAN MAINTENANCE,No,Urban,Rs.5981639.04,13,561720,Rs.6096000.0,Rs.8013639.04,4,1,Bank of Baroda,Yes,1
3116,Existing,2008,Rs.6502400.0,"DREAMWORKS CONSTRUCTION, INC.",No,Urban,Rs.13004800.0,5,238990,Rs.13004800.0,Rs.30402377.6,4,1,IDBI Bank Limited,Yes,1
3117,Existing,2006,Rs.1625600.0,"SANSARA, LLC",No,Urban,Rs.0.0,5,713940,Rs.3251200.0,Rs.5954654.08,108,0,Dhanlaxmi Bank Ltd.,Yes,0
3118,New,2001,Rs.2032000.0,THE CUP STOPS HERE LLC,No,Urban,Rs.0.0,4,722211,Rs.4064000.0,Rs.4034414.08,54,1,Bandhan Bank Ltd.,Yes,0
3119,New,2005,Rs.406400.0,J M Mowing,No,Urban,Rs.798819.84,1,561730,Rs.812800.0,Rs.1670222.72,94,0,ICICI Bank Ltd.,T,1
3120,Existing,1999,Rs.3251200.0,MICHAEL DEAN'S WOOD OVEN & BAR,Yes,Undefined,Rs.0.0,32,722110,Rs.4064000.0,Rs.4064000.0,126,1,CSB Bank Limited,0,0
3121,Existing,2004,Rs.2032000.0,TAMARA KRAMSKY MD,No,Urban,Rs.0.0,1,621111,Rs.4064000.0,Rs.4064000.0,126,1,Au Small Finance Bank Ltd.,Yes,0
3122,New,2003,Rs.14630400.0,QUIZNO'S SUBS,No,Urban,Rs.0.0,12,722211,Rs.19507200.0,Rs.16499840.0,180,68020,Abu Dhabi Commercial Bank Ltd.,No,0
3123,New,1996,Rs.6502400.0,JAK'S 82 GRILLE,Yes,Undefined,Rs.0.0,1,0,Rs.8128000.0,Rs.8128000.0,126,1,Madhyanchal Gramin Bank,No,0
3124,Existing,1995,Rs.25420320.0,"PATIENT EQUIPMENT REBUILD, INC",No,Undefined,Rs.0.0,13,0,Rs.33893760.0,Rs.33893760.0,270,1,Cooperatieve Rabobank U.A.,No,0
3125,Existing,2011,Rs.10972800.0,ELECTRONIC DOCUMENT DISCOVERY,,Urban,Rs.0.0,10,541511,Rs.12192000.0,Rs.12192000.0,126,0,Credit Suisse A.G,Yes,0
3126,Existing,2004,Rs.6079744.0,HAMPTON LAWN AND LANDSCAPE,Yes,Rural,Rs.0.0,4,444210,Rs.7152640.0,Rs.7152640.0,360,1,Mashreq Bank PSC,0,0
3127,New,2001,Rs.8131657.600000001,AUTHORIZED DISTRIBUTOR MATCO T,Yes,Urban,Rs.7425578.24,1,454390,Rs.9566656.0,Rs.9566656.0,104,1,Karnataka Vikas Gramin Bank,0,1
3128,New,2006,Rs.2032000.0,Results Media LLC,No,Urban,Rs.0.0,2,541810,Rs.4064000.0,Rs.4064000.0,126,0,Karur Vysya Bank Ltd.,Yes,0
3129,Existing,2008,Rs.1828800.0,Im Lighting Inc,No,Urban,Rs.3512840.32,4,442299,Rs.3657600.0,Rs.9084990.72,92,0,Dhanlaxmi Bank Ltd.,Yes,1
3130,Existing,1995,Rs.3584448.0,STEAK-N-HOAGIE,Yes,Undefined,Rs.0.0,1,0,Rs.3982720.0,Rs.3982720.0,126,1,IDBI Bank Limited,No,0
3131,New,1998,Rs.1950720.0,KREATIVE KUTS BY KLEIN & CO,No,Undefined,Rs.0.0,2,0,Rs.2438400.0,Rs.2438400.0,90,1,ICICI Bank Ltd.,0,0
3132,Existing,1994,Rs.15849600.0,"CORONA DEL MAR REHAB, INC.",No,Undefined,Rs.0.0,14,0,Rs.15849600.0,Rs.15768320.0,360,1,Central Bank of India,No,0
3133,Existing,1995,Rs.7315200.0,"PRESENTATION SERVICES,LTD.",Yes,Undefined,Rs.0.0,4,541430,Rs.8128000.0,Rs.8127918.72,68,1,IDBI Bank Limited,No,0
3134,New,1997,Rs.7680960.0,MELINDA K. VAN VECHTEN D.V.M.,No,Undefined,Rs.2031593.6,1,541940,Rs.10241280.0,Rs.10241280.0,213,1,ESAF Small Finance Bank Ltd.,0,1
3135,Existing,2012,Rs.406400.0,1ST CHOICE AUTOMOTIVE INC,No,Rural,Rs.0.0,3,811111,Rs.812800.0,Rs.1881469.44,126,0,Airtel Payments Bank Ltd,Yes,0
3136,Existing,1993,Rs.23006304.0,BAKERY BASKET,No,Undefined,Rs.0.0,10,311812,Rs.27066240.0,Rs.27066240.0,450,1,IDBI Bank Limited,No,0
3137,Existing,2003,Rs.21092160.0,SUMMIT FINANCIAL,No,Urban,Rs.0.0,2,541213,Rs.28122880.0,Rs.28122880.0,180,1,IndusInd Bank Ltd,0,0
3138,New,1989,Rs.17272000.0,CAROUSEL ICE CREAM,No,Undefined,Rs.0.0,1,0,Rs.20320000.0,Rs.20320000.0,180,0,Andhra Pradesh Grameena Vikas Bank,No,0
3139,New,1997,Rs.20076160.0,"IN COLLINA ENTERPRISES, INC.",No,Undefined,Rs.0.0,9,444130,Rs.20076160.0,Rs.17393920.0,360,1,Kotak Mahindra Bank Ltd,No,0
3140,New,2007,Rs.13716000.0,WAYEMANN ENTERPRISES IV LLC,No,Urban,Rs.0.0,1,722211,Rs.18288000.0,Rs.18288000.0,135,0,Paytm Payments Bank Ltd,No,0
3141,New,1999,Rs.3056128.0,"RURAL AMERICA CONNECT, INC",Yes,Urban,Rs.0.0,1,0,Rs.3820160.0,Rs.3820160.0,135,1,Airtel Payments Bank Ltd,0,0
3142,Existing,2006,Rs.2032000.0,"ICE HOUSE INN, INC",No,Urban,Rs.1142715.52,9,722110,Rs.4064000.0,Rs.4064000.0,15,0,City Union Bank Ltd.,No,0
3143,Existing,2005,Rs.2032000.0,"A & A ORTHOPEDIC APPLIANCES, I",No,Urban,Rs.3670198.4,3,339113,Rs.4064000.0,Rs.4064000.0,92,1,Subhadra Local Bank Ltd,No,1
3144,Existing,2008,Rs.1422400.0,"Eler Technologies, Inc.",No,Urban,Rs.2647045.7600000002,3,443120,Rs.2844800.0,Rs.5486400.0,45,0,ICICI Bank Ltd.,Yes,1
3145,Existing,2006,Rs.6908800.0,SIMMONS MOLD & DIE COMPANY INC,No,Urban,Rs.6556044.8,10,332710,Rs.8128000.0,Rs.8128000.0,56,1,Standard Chartered Bank,No,1
3146,Existing,1995,Rs.15971520.0,FLATHEAD JANITORIAL & RUG SERV,No,Undefined,Rs.0.0,27,0,Rs.21295360.0,Rs.21295360.0,180,1,India Post Payments Bank Ltd,,0
3147,Existing,2006,Rs.1219200.0,"Pinzon Business, Inc.",No,Urban,Rs.2438400.0,3,561740,Rs.2438400.0,Rs.2438400.0,69,0,ICICI Bank Ltd.,Yes,1
3148,Existing,2009,Rs.2032000.0,Gladys Bernabe,No,Urban,Rs.3882826.88,5,624190,Rs.4064000.0,Rs.8900241.28,46,0,HDFC Bank Ltd,Yes,1
3149,Existing,2006,Rs.1625600.0,Dr. Steven Gruber d/b/a Gruber,No,Rural,Rs.0.0,4,621310,Rs.3251200.0,Rs.3251200.0,122,0,Export-Import Bank of India,No,0
3150,New,2006,Rs.1422400.0,FRONT RUSH LLC,No,Urban,Rs.0.0,2,541810,Rs.2844800.0,Rs.3466592.0,126,0,Dhanlaxmi Bank Ltd.,Yes,0
3151,Existing,1998,Rs.60350400.0,EDWARDS COMMUNICATIONS LLC AN,No,Undefined,Rs.45698867.2,18,235310,Rs.80467200.0,Rs.80467200.0,78,1,Karnataka Vikas Gramin Bank,0,1
3152,New,2007,Rs.6908800.0,"J L MECHANICAL SERVICES, INC.",No,Rural,Rs.0.0,5,238220,Rs.8128000.0,Rs.8128000.0,72,1,First Abu Dhabi Bank PJSC,0,0
3153,Existing,2005,Rs.1016000.0,BROTHERS BUILDERS/QUALITY HOME,No,Urban,Rs.2015744.0,2,236115,Rs.2032000.0,Rs.3959230.08,51,1,IDBI Bank Limited,Yes,1
3154,New,2006,Rs.5080000.0,LA ZUZZIO ITALIAN DELI & MARKE,No,Urban,Rs.6285788.8,4,722110,Rs.10160000.0,Rs.10160000.0,81,1,CSB Bank Limited,0,1
3155,Existing,2004,Rs.853440.0,SOPHIE'S COFFEE INC,No,Urban,Rs.1539605.76,7,722213,Rs.1706880.0,Rs.2864144.64,32,1,City Union Bank Ltd.,Yes,1
3156,Existing,1993,Rs.18563945.6,"NORTHWEST FUEL SYSTEMS, INC.",No,Undefined,Rs.0.0,4,0,Rs.21839936.0,Rs.21839936.0,112,1,Standard Chartered Bank,No,0
3157,Existing,2009,Rs.812800.0,CAUDILL EXCAVATING LLC,No,Rural,Rs.0.0,2,238910,Rs.1625600.0,Rs.5347086.08,126,0,Karur Vysya Bank Ltd.,Yes,0
3158,Existing,2007,Rs.6908800.0,BLUE WATER PARTY RENTALS,No,Urban,Rs.0.0,10,532299,Rs.8128000.0,Rs.8128000.0,128,1,Emirates NBD Bank PJSC,0,0
3159,Existing,1999,Rs.25481280.0,INTERIORS,No,Urban,Rs.0.0,4,442110,Rs.33975040.0,Rs.33975040.0,342,1,Baroda Gujarat Gramin Bank,No,0
3160,Existing,1998,Rs.27432000.0,PRO TECH PRECISION MACHINE CO,No,Undefined,Rs.20907573.12,40,0,Rs.36576000.0,Rs.36576000.0,58,1,Punjab Gramin Bank,0,1
3161,Existing,2004,Rs.650240.0,THE GLENS INN BED & BREAKFAST,No,Urban,Rs.0.0,1,721191,Rs.1300480.0,Rs.1300480.0,72,1,ICICI Bank Ltd.,Yes,0
3162,New,2007,Rs.2032000.0,"R & R AUTO EXPRESS, INC.",No,Urban,Rs.3183412.48,7,484110,Rs.4064000.0,Rs.4064000.0,64,0,Bank of Baroda,Yes,1
3163,Existing,1996,Rs.3251200.0,INGRAM EXPRESS SERVICES,Yes,Undefined,Rs.0.0,5,0,Rs.4064000.0,Rs.4064000.0,126,1,Cooperatieve Rabobank U.A.,No,0
3164,Existing,1998,Rs.18288000.0,DINGER'S DOG BAKERY,No,Undefined,Rs.0.0,4,0,Rs.24384000.0,Rs.24384000.0,180,1,Aryavart Bank,No,0
3165,Existing,2006,Rs.1219200.0,Venti's Incorporated,No,Urban,Rs.0.0,4,722110,Rs.2438400.0,Rs.3811300.48,126,0,Karur Vysya Bank Ltd.,Yes,0
3166,Existing,1995,Rs.5974080.0,"JOHNSON'S SUBWAYS, INC.",No,Undefined,Rs.0.0,22,0,Rs.8534400.0,Rs.8534400.0,126,1,Paytm Payments Bank Ltd,0,0
3167,Existing,2007,Rs.1016000.0,"D B Graham, Inc.",No,Urban,Rs.0.0,6,238990,Rs.2032000.0,Rs.2032000.0,90,0,Fincare Small Finance Bank Ltd.,No,0
3168,Existing,2001,Rs.36576000.0,"GOOD LIFE FOODS, INC.",No,Urban,Rs.0.0,1,422450,Rs.40640000.0,Rs.40640000.0,18,1,IDBI Bank Limited,Yes,0
3169,Existing,1998,Rs.1016000.0,J Y FOOD CO.,No,Undefined,Rs.0.0,5,0,Rs.2032000.0,Rs.2032000.0,90,1,Dhanlaxmi Bank Ltd.,0,0
3170,New,2007,Rs.13106400.0,"Husky Hardcore, LLC",No,Urban,Rs.0.0,3,713940,Rs.17475200.0,Rs.17475200.0,183,0,ESAF Small Finance Bank Ltd.,No,0
3171,Existing,2011,Rs.4064000.0,Medical Practice Management Re,No,Urban,Rs.0.0,58,541219,Rs.8128000.0,Rs.14737120.64,126,0,Barclays Bank Plc.,Yes,0
3172,Existing,2005,Rs.2032000.0,FLOSSIE MAE ICE CREAM LLC,No,Urban,Rs.0.0,4,445299,Rs.4064000.0,Rs.4127804.8000000003,62,1,Bank of Bahrain & Kuwait BSC,Yes,0
3173,Existing,2012,Rs.304800.0,"Errol General Store, Inc.",No,Rural,Rs.0.0,3,447110,Rs.609600.0,Rs.609600.0,90,0,Tamil Nadu Grama Bank,No,0
3174,Existing,1991,Rs.7071360.0,BOTTOM LINE WINE,No,Undefined,Rs.0.0,1,0,Rs.8128000.0,Rs.8128000.0,90,1,Credit Suisse A.G,No,0
3175,Existing,1996,Rs.27716480.0,RYAN'S RESORT,No,Undefined,Rs.0.0,2,721214,Rs.27716480.0,Rs.11297920.0,360,1,Standard Chartered Bank,No,0
3176,Existing,1992,Rs.16377920.0,FEOLA TRUCK AND AUTO REPAIR,No,Undefined,Rs.0.0,4,811111,Rs.20320000.0,Rs.20320000.0,270,1,Sumitomo Mitsui Banking Corporation,No,0
3177,Existing,1997,Rs.4005478.4,PETE'S OF OKOBOJI CORP.,Yes,Undefined,Rs.0.0,16,0,Rs.5006848.0,Rs.5006848.0,126,1,NatWest Markets plc,No,0
3178,Existing,1993,Rs.23733760.0,OCEAN VIEW DINER RESTAURANT,No,Undefined,Rs.0.0,16,0,Rs.29667200.0,Rs.29667200.0,396,1,IDBI Bank Limited,No,0
3179,Existing,1991,Rs.11054080.0,MICHAEL LOMBARDO & SCOTT PARKS,No,Undefined,Rs.0.0,2,441120,Rs.13004800.0,Rs.13004800.0,270,1,Fincare Small Finance Bank Ltd.,No,0
3180,Existing,1999,Rs.3355238.4,HANNA GRAPHICS,Yes,Urban,Rs.3851208.96,2,541430,Rs.4194048.0,Rs.4194048.0,56,1,Subhadra Local Bank Ltd,0,1
